Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Sigefredo Pacheco (PI),Total,Produção de lavouras temporárias,13,2,,,,,,1,6,,1,4,1,,,,,,1,2,,,9,1,,,,,,,4,,1,7,1,,,,,,,2,,1,2,,,,,,,,2,,,,,,,,,,,,,,4,1,,,,,,1,2,,,9,1,,,,,,,4,,1
Simões (PI),Total,Total,12,,,,,,,,,,9,5,,,,,,,,,,1,7,,,,,,,,,,8,7,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,1,7,,,,,,,,,,8
Simões (PI),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Simplício Mendes (PI),Total,Total,11,58,,,65,,,,42,1,34,4,25,,,8,,,,8,,6,7,33,,,57,,,,34,1,28,6,19,,,49,,,,29,,24,1,14,,,8,,,,5,1,4,,,,,,,,,,,,4,25,,,8,,,,8,,6,7,33,,,57,,,,34,1,28
Simplício Mendes (PI),Total,Produção de lavouras temporárias,,4,,,19,,,,12,,3,,,,,4,,,,4,,1,,4,,,15,,,,8,,2,,1,,,12,,,,7,,2,,3,,,3,,,,1,,,,,,,,,,,,,,,,,,4,,,,4,,1,,4,,,15,,,,8,,2
Socorro do Piauí (PI),Total,Total,2,1,,1,,,,,3,,,,,,1,,,,,1,,,2,1,,,,,,,2,,,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,1,,,,,,,2,,
Socorro do Piauí (PI),Total,Produção de lavouras temporárias,1,,,1,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,
Sussuapara (PI),Total,Total,41,12,1,8,7,,,,67,,69,5,3,,,,,,,13,,1,36,9,1,8,7,,,,54,,68,22,5,1,8,5,,,,39,,63,14,4,,,2,,,,15,,5,,,,,,,,,,,,5,3,,,,,,,13,,1,36,9,1,8,7,,,,54,,68
Sussuapara (PI),Total,Produção de lavouras temporárias,11,,1,3,,,,,20,,28,,,,,,,,,5,,,11,,1,3,,,,,15,,28,9,,1,3,,,,,14,,28,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,11,,1,3,,,,,15,,28
Tamboril do Piauí (PI),Total,Total,5,1,1,1,,,,,31,,,2,1,,,,,,,6,,,3,,1,1,,,,,25,,,2,,1,,,,,,18,,,1,,,1,,,,,7,,,,,,,,,,,,,,2,1,,,,,,,6,,,3,,1,1,,,,,25,,
Tamboril do Piauí (PI),Total,Produção de lavouras temporárias,,1,,,,,,,14,,,,1,,,,,,,4,,,,,,,,,,,10,,,,,,,,,,,8,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,10,,
Tanque do Piauí (PI),Total,Total,2,1,,,,,,,1,,,,1,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,
Tanque do Piauí (PI),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teresina (PI),Total,Total,78,244,2,7,,1,2,1,273,,1112,51,25,1,4,,1,1,1,138,,314,27,219,1,3,,,1,,135,,798,23,105,1,3,,,1,,93,,632,4,114,,,,,,,40,,166,,,,,,,,,2,,,51,25,1,4,,1,1,1,139,,314,27,219,1,3,,,1,,134,,798
Teresina (PI),Total,Produção de lavouras temporárias,21,7,1,2,,,,,80,,266,13,2,1,1,,,,,48,,130,8,5,,1,,,,,32,,136,7,4,,1,,,,,26,,130,1,1,,,,,,,6,,6,,,,,,,,,,,,13,2,1,1,,,,,48,,130,8,5,,1,,,,,32,,136
União (PI),Total,Total,13,48,2,2,2,,5,2,110,,47,7,19,,1,2,,2,1,27,,16,6,29,2,1,,,3,1,83,,31,4,19,1,,,,3,1,71,,30,2,10,1,1,,,,,12,,1,,,,,,,,,,,,6,19,,1,2,,1,,26,,16,7,29,2,1,,,4,2,84,,31
União (PI),Total,Produção de lavouras temporárias,6,11,,2,2,,3,1,45,,3,3,4,,1,2,,1,1,10,,,3,7,,1,,,2,,35,,3,3,7,,,,,2,,34,,3,,,,1,,,,,1,,,,,,,,,,,,,,2,4,,1,2,,,,9,,,4,7,,1,,,3,1,36,,3
Uruçuí (PI),Total,Total,8,1,2,1,,1,,,11,,3,3,1,2,,,,,,2,,,5,,,1,,1,,,9,,3,3,,,,,1,,,5,,1,2,,,1,,,,,4,,2,,,,,,,,,,,,3,1,2,,,,,,2,,,5,,,1,,1,,,9,,3
Uruçuí (PI),Total,Produção de lavouras temporárias,2,,1,,,,,,9,,1,1,,1,,,,,,2,,,1,,,,,,,,7,,1,1,,,,,,,,4,,,,,,,,,,,3,,1,,,,,,,,,,,,1,,1,,,,,,2,,,1,,,,,,,,7,,1
Valença do Piauí (PI),Total,Total,45,76,,2,1,1,,,67,,10,21,12,,1,,1,,,23,,3,24,64,,1,1,,,,44,,7,17,54,,,1,,,,32,,7,7,9,,1,,,,,12,,,,1,,,,,,,,,,21,13,,1,,1,,,23,,3,24,63,,1,1,,,,44,,7
Valença do Piauí (PI),Total,Produção de lavouras temporárias,6,8,,,1,,,,16,,2,3,1,,,,,,,3,,,3,7,,,1,,,,13,,2,3,6,,,1,,,,11,,2,,,,,,,,,2,,,,1,,,,,,,,,,3,2,,,,,,,3,,,3,6,,,1,,,,13,,2
Várzea Branca (PI),Total,Total,10,1,,,,,,,,,19,3,,,,,,,,,,6,7,1,,,,,,,,,13,5,1,,,,,,,,,12,2,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,6,7,1,,,,,,,,,13
Várzea Branca (PI),Total,Produção de lavouras temporárias,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2
Várzea Grande (PI),Total,Total,2,1,,,,,,2,15,,10,1,,,,,,,1,6,,,1,1,,,,,,1,9,,10,1,,,,,,,1,7,,8,,1,,,,,,,2,,2,,,,,,,,,,,,1,,,,,,,1,6,,,1,1,,,,,,1,9,,10
Várzea Grande (PI),Total,Produção de lavouras temporárias,,,,,,,,1,6,,,,,,,,,,,1,,,,,,,,,,1,5,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,5,,
Vera Mendes (PI),Total,Total,19,14,,,,,,,28,,18,4,4,,,,,,,8,,6,15,10,,,,,,,20,,12,13,9,,,,,,,17,,12,2,1,,,,,,,3,,,,,,,,,,,,,,4,4,,,,,,,8,,6,15,10,,,,,,,20,,12
Vera Mendes (PI),Total,Produção de lavouras temporárias,3,,,,,,,,5,,3,1,,,,,,,,1,,1,2,,,,,,,,4,,2,2,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,2,,,,,,,,4,,2
Vila Nova do Piauí (PI),Total,Total,3,,1,,,,,,1,,2,,,,,,,,,,,,3,,1,,,,,,1,,2,2,,1,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,1,,2
Vila Nova do Piauí (PI),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Wall Ferraz (PI),Total,Total,17,19,1,,,,,,69,,4,4,6,1,,,,,,10,,,13,13,,,,,,,59,,4,7,11,,,,,,,49,,4,6,2,,,,,,,10,,,,,,,,,,,,,,4,6,1,,,,,,10,,,13,13,,,,,,,59,,4
Wall Ferraz (PI),Total,Produção de lavouras temporárias,7,5,,,,,,,16,,,1,1,,,,,,,1,,,6,4,,,,,,,15,,,3,4,,,,,,,13,,,3,,,,,,,,2,,,,,,,,,,,,,,1,1,,,,,,,1,,,6,4,,,,,,,15,,
Abaiara (CE),Total,Total,9,25,,,,,1,,35,,1,2,10,,,,,,,18,,,7,15,,,,,1,,17,,1,6,5,,,,,1,,7,,,1,10,,,,,,,10,,1,,,,,,,,,,,,2,9,,,,,,,18,,,7,16,,,,,1,,17,,1
Abaiara (CE),Total,Produção de lavouras temporárias,2,3,,,,,1,,4,,,,1,,,,,,,,,,2,2,,,,,1,,4,,,2,2,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,2,2,,,,,1,,4,,
Acarape (CE),Total,Total,1,1,1,3,,,1,2,1,2,6,,,,2,,,,1,,,4,1,1,1,1,,,1,1,1,2,2,,,,1,,,,,,2,1,1,1,1,,,,1,1,1,,1,,,,,,,,,,,,,,,2,,,,1,,,4,1,1,1,1,,,1,1,1,2,2
Acarape (CE),Total,Produção de lavouras temporárias,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,
Acaraú (CE),Total,Total,127,293,3,,,1,1,39,40,9,117,42,105,2,,,,1,3,11,,5,85,188,1,,,1,,36,29,9,112,39,101,1,,,1,,27,22,8,108,46,87,,,,,,9,7,1,4,,,,,,,,,,,,42,103,2,,,,1,3,11,,5,85,190,1,,,1,,36,29,9,112
Acaraú (CE),Total,Produção de lavouras temporárias,45,60,,,,,,7,13,2,28,11,22,,,,,,3,5,,2,34,38,,,,,,4,8,2,26,20,27,,,,,,4,5,2,26,14,11,,,,,,,3,,,,,,,,,,,,,,11,22,,,,,,3,5,,2,34,38,,,,,,4,8,2,26
Acopiara (CE),Total,Total,8,35,,16,,1,,,52,49,138,2,9,,2,,,,,14,8,35,6,26,,14,,1,,,38,41,103,3,15,,12,,,,,19,23,76,3,11,,2,,1,,,19,18,27,,,,,,,,,,,,2,9,,2,,,,,14,8,35,6,26,,14,,1,,,38,41,103
Acopiara (CE),Total,Produção de lavouras temporárias,1,5,,5,,,,,5,2,19,,2,,,,,,,2,,4,1,3,,5,,,,,3,2,15,1,3,,5,,,,,1,2,13,,,,,,,,,2,,2,,,,,,,,,,,,,2,,,,,,,2,,4,1,3,,5,,,,,3,2,15
Aiuaba (CE),Total,Total,6,9,2,,,,,,24,,64,4,3,,,,,,,5,,14,2,6,2,,,,,,19,,50,1,3,1,,,,,,10,,44,1,3,1,,,,,,9,,6,,,,,,,,,,,,4,3,,,,,,,5,,14,2,6,2,,,,,,19,,50
Aiuaba (CE),Total,Produção de lavouras temporárias,2,,,,,,,,3,,19,1,,,,,,,,,,3,1,,,,,,,,3,,16,1,,,,,,,,3,,15,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,3,1,,,,,,,,3,,16
Alcântaras (CE),Total,Total,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
Alcântaras (CE),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Altaneira (CE),Total,Total,4,5,1,,,,,,5,,30,,1,,,,,,,1,,4,4,4,1,,,,,,4,,26,2,1,1,,,,,,2,,23,2,3,,,,,,,2,,3,,,,,,,,,,,,,1,,,,,,,1,,4,4,4,1,,,,,,4,,26
Altaneira (CE),Total,Produção de lavouras temporárias,1,1,,,,,,,1,,10,,1,,,,,,,,,2,1,,,,,,,,1,,8,1,,,,,,,,1,,8,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,,,,,,,,1,,8
Alto Santo (CE),Total,Total,26,95,,8,3,2,1,2,49,24,6,5,27,,1,,,,2,18,1,1,21,68,,7,3,2,1,,31,23,5,11,35,,4,3,1,1,,8,16,5,10,32,,3,,1,,,22,7,,,1,,,,,,,1,,,5,28,,1,,,,2,19,1,1,21,67,,7,3,2,1,,30,23,5
Alto Santo (CE),Total,Produção de lavouras temporárias,2,11,,1,1,,,,5,3,,,4,,,,,,,1,,,2,7,,1,1,,,,4,3,,1,7,,1,1,,,,3,3,,1,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,1,,,2,7,,1,1,,,,4,3,
Amontada (CE),Total,Total,6,103,1,,,,,,6,35,169,3,26,,,,,,,2,17,25,3,77,1,,,,,,4,18,144,2,63,1,,,,,,3,17,131,1,14,,,,,,,1,1,13,,,,,,,,,,,,3,25,,,,,,,2,17,25,3,78,1,,,,,,4,18,144
Amontada (CE),Total,Produção de lavouras temporárias,1,18,,,,,,,3,12,54,,3,,,,,,,1,6,6,1,15,,,,,,,2,6,48,,13,,,,,,,2,6,44,1,2,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,,1,6,6,1,15,,,,,,,2,6,48
Antonina do Norte (CE),Total,Total,,1,,,,,,,6,,5,,,,,,,,,1,,2,,1,,,,,,,5,,3,,1,,,,,,,3,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,5,,3
Antonina do Norte (CE),Total,Produção de lavouras temporárias,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Apuiarés (CE),Total,Total,18,55,1,12,,,,,76,5,5,9,10,1,2,,,,,27,2,,9,45,,10,,,,,49,3,5,7,35,,8,,,,,40,3,4,2,10,,2,,,,,9,,1,,,,,,,,,,,,9,10,1,2,,,,,27,2,,9,45,,10,,,,,49,3,5
Apuiarés (CE),Total,Produção de lavouras temporárias,5,5,,,,,,,10,,1,2,1,,,,,,,3,,,3,4,,,,,,,7,,1,2,4,,,,,,,7,,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,3,,,3,4,,,,,,,7,,1
Aquiraz (CE),Total,Total,7,11,1,1,,,13,5,43,3,245,5,5,,,,,8,5,27,1,100,2,6,1,1,,,5,,16,2,145,,3,,1,,,5,,8,2,80,2,3,1,,,,,,7,,61,,,,,,,,,1,,4,5,4,,,,,8,5,28,1,103,2,7,1,1,,,5,,15,2,142
Aquiraz (CE),Total,Produção de lavouras temporárias,1,2,,1,,,6,,6,1,21,1,2,,,,,3,,2,,8,,,,1,,,3,,4,1,13,,,,1,,,3,,4,1,11,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,3,,2,,8,,1,,1,,,3,,4,1,13
Aracati (CE),Total,Total,78,11,,7,4,,3,3,8,5,136,39,3,,,,,,1,1,3,15,39,8,,7,4,,3,2,7,2,121,17,3,,6,3,,,2,4,2,114,22,5,,1,1,,3,,3,,7,,,,,,,,,,,,37,3,,,,,,1,1,3,15,41,8,,7,4,,3,2,7,2,121
Aracati (CE),Total,Produção de lavouras temporárias,32,2,,6,1,,1,1,2,1,52,15,,,,,,,,,1,4,17,2,,6,1,,1,1,2,,48,9,2,,5,,,,1,2,,48,8,,,1,1,,1,,,,,,,,,,,,,,,,15,,,,,,,,,1,4,17,2,,6,1,,1,1,2,,48
Aracoiaba (CE),Total,Total,8,8,1,5,1,2,2,3,44,4,92,7,4,,3,1,2,1,3,20,1,23,1,4,1,2,,,1,,24,3,69,1,2,,2,,,1,,12,1,53,,2,1,,,,,,12,2,16,,,,,,,,,,,,7,4,,3,1,2,1,3,20,1,23,1,4,1,2,,,1,,24,3,69
Aracoiaba (CE),Total,Produção de lavouras temporárias,2,2,,,,,2,1,15,,24,1,2,,,,,1,1,5,,5,1,,,,,,1,,10,,19,1,,,,,,1,,7,,18,,,,,,,,,3,,1,,,,,,,,,,,,1,2,,,,,1,1,5,,5,1,,,,,,1,,10,,19
Ararendá (CE),Total,Total,13,4,,,,,1,,6,,228,5,1,,,,,1,,3,,76,8,3,,,,,,,3,,152,4,1,,,,,,,2,,136,4,2,,,,,,,1,,16,,,,,,,,,,,,5,1,,,,,1,,3,,76,8,3,,,,,,,3,,152
Ararendá (CE),Total,Produção de lavouras temporárias,3,1,,,,,1,,3,,125,,,,,,,1,,2,,46,3,1,,,,,,,1,,79,2,,,,,,,,1,,75,1,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,2,,46,3,1,,,,,,,1,,79
Araripe (CE),Total,Total,6,3,,,1,,,1,2,,21,2,1,,,1,,,1,2,,8,4,2,,,,,,,,,13,2,2,,,,,,,,,9,2,,,,,,,,,,4,,,,,,,,,,,,2,1,,,1,,,1,2,,8,4,2,,,,,,,,,13
Araripe (CE),Total,Produção de lavouras temporárias,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Aratuba (CE),Total,Total,7,7,,,,,,,9,,193,4,2,,,,,,,5,,24,3,5,,,,,,,4,,169,2,4,,,,,,,3,,108,1,1,,,,,,,1,,61,,,,,,,,,,,,4,2,,,,,,,5,,24,3,5,,,,,,,4,,169
Aratuba (CE),Total,Produção de lavouras temporárias,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Arneiroz (CE),Total,Total,17,25,2,,4,,,,15,8,20,7,6,1,,2,,,,5,4,7,10,19,1,,2,,,,10,4,13,7,9,,,2,,,,5,2,9,3,10,1,,,,,,5,2,4,,,,,,,,,,,,7,6,1,,2,,,,5,4,7,10,19,1,,2,,,,10,4,13
Arneiroz (CE),Total,Produção de lavouras temporárias,1,3,1,,1,,,,1,1,1,1,1,,,1,,,,,,,,2,1,,,,,,1,1,1,,1,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,2,1,,,,,,1,1,1
Assaré (CE),Total,Total,19,31,,,,,,,16,,28,2,6,,,,,,,4,,7,17,25,,,,,,,12,,21,10,22,,,,,,,9,,15,7,3,,,,,,,3,,6,,,,,,,,,,,,2,6,,,,,,,4,,7,17,25,,,,,,,12,,21
Assaré (CE),Total,Produção de lavouras temporárias,8,12,,,,,,,7,,8,1,3,,,,,,,1,,3,7,9,,,,,,,6,,5,6,9,,,,,,,4,,5,1,,,,,,,,2,,,,,,,,,,,,,,1,3,,,,,,,1,,3,7,9,,,,,,,6,,5
Aurora (CE),Total,Total,3,33,,2,3,3,,2,262,4,52,2,14,,2,,,,,51,,10,1,19,,,3,3,,2,211,4,42,1,11,,,3,1,,2,147,4,38,,8,,,,2,,,64,,4,,,,,,,,,,,,2,14,,2,,,,,51,,10,1,19,,,3,3,,2,211,4,42
Aurora (CE),Total,Produção de lavouras temporárias,,2,,,1,,,,47,1,18,,1,,,,,,,7,,2,,1,,,1,,,,40,1,16,,1,,,1,,,,37,1,16,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,7,,2,,1,,,1,,,,40,1,16
Baixio (CE),Total,Total,8,3,,3,,,,,40,5,3,,1,,,,,,,11,1,1,8,2,,3,,,,,29,4,2,4,,,2,,,,,19,2,1,4,2,,1,,,,,10,2,1,,,,,,,,,,,,,1,,,,,,,11,1,1,8,2,,3,,,,,29,4,2
Baixio (CE),Total,Produção de lavouras temporárias,1,,,,,,,,4,,,,,,,,,,,1,,,1,,,,,,,,3,,,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,3,,
Banabuiú (CE),Total,Total,,,,15,,,,,34,,,,,,2,,,,,6,,,,,,13,,,,,28,,,,,,7,,,,,19,,,,,,6,,,,,9,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,13,,,,,28,,
Banabuiú (CE),Total,Produção de lavouras temporárias,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Barbalha (CE),Total,Total,38,307,1,1,,,2,,193,5,54,14,120,,,,,2,,76,2,19,24,187,1,1,,,,,117,3,35,10,95,,1,,,,,65,2,27,14,92,1,,,,,,51,1,8,,,,,,,,,1,,,13,119,,,,,2,,76,2,19,25,188,1,1,,,,,117,3,35
Barbalha (CE),Total,Produção de lavouras temporárias,9,78,,,,,1,,59,,17,3,31,,,,,1,,25,,5,6,47,,,,,,,34,,12,4,35,,,,,,,25,,10,2,12,,,,,,,9,,2,,,,,,,,,,,,3,31,,,,,1,,25,,5,6,47,,,,,,,34,,12
Barreira (CE),Total,Total,5,9,,3,1,1,2,,9,,8,2,4,,,,,,,5,,6,3,5,,3,1,1,2,,4,,2,1,3,,1,1,1,,,2,,2,2,2,,2,,,2,,2,,,,,,,,,,,,,,2,4,,,,,,,5,,6,3,5,,3,1,1,2,,4,,2
Barreira (CE),Total,Produção de lavouras temporárias,2,3,,1,,,,,2,,,,1,,,,,,,1,,,2,2,,1,,,,,1,,,,2,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,2,2,,1,,,,,1,,
Barro (CE),Total,Total,24,65,,19,,,,3,47,,7,3,10,,3,,,,1,11,,,21,55,,16,,,,2,36,,7,14,34,,14,,,,1,15,,7,7,20,,2,,,,1,21,,,,1,,,,,,,,,,3,11,,3,,,,1,11,,,21,54,,16,,,,2,36,,7
Barro (CE),Total,Produção de lavouras temporárias,4,12,,2,,,,,5,,2,,,,,,,,,1,,,4,12,,2,,,,,4,,2,4,10,,2,,,,,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,12,,2,,,,,4,,2
Barroquinha (CE),Total,Total,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
Barroquinha (CE),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baturité (CE),Total,Total,9,3,2,1,,1,2,5,19,2,22,6,2,1,,,1,2,1,6,1,9,3,1,1,1,,,,4,13,1,13,3,,1,1,,,,1,7,1,6,,1,,,,,,3,6,,7,,,,,,,,,,,,6,2,1,,,1,2,1,6,1,9,3,1,1,1,,,,4,13,1,13
Baturité (CE),Total,Produção de lavouras temporárias,2,,,,,,,,2,,3,,,,,,,,,1,,2,2,,,,,,,,1,,1,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,1,,1
Beberibe (CE),Total,Total,21,21,2,,,,1,1,33,4,70,8,7,1,,,,,,12,4,25,13,14,1,,,,1,1,21,,45,7,7,,,,,,1,14,,38,6,7,1,,,,1,,7,,7,,,,,,,,,,,,7,7,1,,,,,,12,4,25,14,14,1,,,,1,1,21,,45
Beberibe (CE),Total,Produção de lavouras temporárias,6,,1,,,,,,2,,24,1,,1,,,,,,1,,7,5,,,,,,,,1,,17,3,,,,,,,,,,15,2,,,,,,,,1,,2,,,,,,,,,,,,1,,1,,,,,,1,,7,5,,,,,,,,1,,17
Bela Cruz (CE),Total,Total,16,22,,,,,,,3,,6,3,8,,,,,,,1,,1,13,14,,,,,,,2,,5,7,7,,,,,,,,,4,6,7,,,,,,,2,,1,,,,,,,,,,,,3,8,,,,,,,1,,1,13,14,,,,,,,2,,5
Bela Cruz (CE),Total,Produção de lavouras temporárias,11,7,,,,,,,1,,3,1,,,,,,,,,,,10,7,,,,,,,1,,3,6,5,,,,,,,,,2,4,2,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,10,7,,,,,,,1,,3
Boa Viagem (CE),Total,Total,10,7,,2,,3,1,,40,3,60,5,3,,,,,,,13,1,6,5,4,,2,,3,1,,27,2,54,3,3,,1,,2,,,15,2,41,2,1,,1,,1,1,,12,,13,,,,,,,,,,,,5,3,,,,,,,13,1,6,5,4,,2,,3,1,,27,2,54
Boa Viagem (CE),Total,Produção de lavouras temporárias,1,,,,,1,,,5,2,10,1,,,,,,,,1,,2,,,,,,1,,,4,2,8,,,,,,1,,,4,2,7,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,2,,,,,,1,,,4,2,8
